customer_id,signup_date,plan,industry,region,payment_method,tenure_months,monthly_revenue,cogs,gross_profit,gross_margin_pct,support_tickets,login_frequency,num_users,nps_score,ltv,churned
CUST-10000,2022-04-03,Starter,Technology,Asia Pacific,Bank Transfer,26,198.96,99.17,99.79,50.16,4,7,4,0,2594.54,1
CUST-10001,2023-05-15,Starter,Education,Middle East,Credit Card,12,193.37,91.27,102.1,52.8,3,7,3,4,1225.22,1
CUST-10002,2022-02-12,Starter,Healthcare,Europe,Credit Card,28,205.01,66.51,138.5,67.56,0,5,4,9,3878.09,0
CUST-10003,2021-01-14,Enterprise,Healthcare,Latin America,Invoice,41,5915.21,2143.33,3771.88,63.77,0,14,171,10,154647.07,0
CUST-10004,2022-07-24,Growth,Education,Latin America,Invoice,22,558.97,169.44,389.53,69.69,1,15,3,0,8569.68,1
CUST-10005,2021-07-18,Professional,Technology,North America,PayPal,34,1737.19,731.69,1005.5,57.88,0,17,42,6,34186.98,0
CUST-10006,2023-07-30,Professional,Manufacturing,Asia Pacific,Credit Card,10,1489.09,475.14,1013.95,68.09,0,20,43,10,10139.48,0
CUST-10007,2023-01-11,Enterprise,Technology,Middle East,Invoice,16,4899.39,2177.02,2722.37,55.57,3,10,40,10,43557.86,0
CUST-10008,2021-06-13,Starter,Technology,Europe,Invoice,36,208.46,87.74,120.72,57.91,2,5,3,7,4346.01,0
CUST-10009,2023-01-18,Starter,Finance,Asia Pacific,PayPal,16,185.31,71.42,113.89,61.46,6,8,3,3,1822.2,1
CUST-10010,2021-12-17,Professional,Healthcare,Asia Pacific,Credit Card,29,1485.55,651.39,834.16,56.15,0,10,46,6,24190.5,0
CUST-10011,2022-07-07,Growth,Healthcare,Latin America,PayPal,23,590.04,292.26,297.78,50.47,3,7,3,8,6848.93,0
CUST-10012,2022-04-15,Growth,Education,Asia Pacific,Credit Card,25,521.48,241.59,279.89,53.67,2,10,13,5,6997.14,0
CUST-10013,2022-03-09,Professional,Finance,Asia Pacific,Credit Card,27,1364.52,413.88,950.64,69.67,1,20,45,7,25667.2,0
CUST-10014,2023-07-29,Professional,Healthcare,Latin America,PayPal,10,1759.53,576.25,1183.28,67.25,0,14,49,8,11832.77,0
CUST-10015,2023-05-28,Growth,Healthcare,Middle East,Invoice,12,685.31,253.46,431.85,63.02,1,10,11,7,5182.24,0
CUST-10016,2023-11-10,Enterprise,Retail,Europe,Bank Transfer,6,5961.46,2949.33,3012.13,50.53,1,16,138,6,18072.78,0
CUST-10017,2021-11-24,Starter,Logistics,North America,Bank Transfer,30,181.95,76.05,105.9,58.2,4,9,2,10,3176.99,0
CUST-10018,2023-02-21,Enterprise,Manufacturing,North America,PayPal,15,5035.19,2013.26,3021.93,60.02,3,16,100,8,45328.89,0
CUST-10019,2021-08-23,Enterprise,Manufacturing,Asia Pacific,Credit Card,33,4297.77,2087.27,2210.5,51.43,1,21,76,5,72946.47,0
CUST-10020,2022-08-25,Professional,Logistics,Asia Pacific,Credit Card,21,1605.59,583.45,1022.14,63.66,2,13,42,6,21465.02,0
CUST-10021,2023-11-06,Enterprise,Technology,Asia Pacific,Bank Transfer,6,5362.53,1954.7,3407.83,63.55,3,10,169,5,20447.0,0
CUST-10022,2021-11-10,Professional,Logistics,Middle East,Bank Transfer,31,1356.07,654.5,701.57,51.74,2,14,33,6,21748.53,0
CUST-10023,2022-10-26,Growth,Manufacturing,Middle East,Credit Card,19,510.39,162.71,347.68,68.12,1,4,4,10,6605.91,0
CUST-10024,2021-04-29,Starter,Retail,Asia Pacific,Bank Transfer,37,195.27,60.6,134.67,68.97,4,7,2,3,4982.81,1
CUST-10025,2023-12-27,Starter,Technology,Latin America,Credit Card,5,201.89,94.32,107.57,53.28,2,7,2,5,537.84,0
