customer_id,signup_date,plan,industry,region,payment_method,tenure_months,monthly_revenue,cogs,gross_profit,gross_margin_pct,support_tickets,login_frequency,num_users,nps_score,ltv,churned,plan_encoded,region_Asia Pacific,region_Europe,region_Latin America,region_Middle East,region_North America,industry_Education,industry_Finance,industry_Healthcare,industry_Logistics,industry_Manufacturing,industry_Retail,industry_Technology,payment_Bank Transfer,payment_Credit Card,payment_Invoice,payment_PayPal,revenue_per_user,cost_efficiency,engagement_score,risk_score,annual_revenue,revenue_segment,tenure_bucket,profitability_tier
CUST-10000,2022-04-03,Starter,Technology,Asia Pacific,Bank Transfer,26,198.96,73.46,125.5,63.08,4,7,4,10,3262.99,1,0,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,49.74,0.6308,22.9,18,2387.52,Low,Veteran,High
CUST-10001,2023-05-15,Starter,Education,Middle East,Credit Card,12,169.71,59.39,110.32,65.01,0,5,2,10,1323.8,1,0,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,84.86,0.6501,27.65,10,2036.52,Low,Growing,High
CUST-10002,2022-02-12,Starter,Healthcare,Europe,Credit Card,28,210.08,89.1,120.98,57.59,1,7,4,9,3387.57,0,0,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,52.52,0.5759,28.9,11,2520.96,Low,Veteran,Medium
CUST-10003,2021-01-14,Enterprise,Healthcare,Latin America,Invoice,41,5915.21,2550.47,3364.74,56.88,0,14,171,10,137954.44,0,3,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,34.59,0.5688,66.37,0,70982.52,Premium,Veteran,Medium
CUST-10004,2022-07-24,Growth,Education,Latin America,Invoice,22,633.76,262.66,371.1,58.56,1,8,10,7,8164.11,1,1,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,63.38,0.5856,31.27,13,7605.12,Medium,Established,Medium
CUST-10005,2021-07-18,Professional,Technology,North America,PayPal,34,1625.97,599.48,1026.49,63.13,2,12,34,10,34900.77,0,2,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,47.82,0.6313,38.77,6,19511.64,High,Veteran,High
CUST-10006,2023-07-30,Professional,Manufacturing,Asia Pacific,Credit Card,10,1737.19,887.0,850.19,48.94,0,17,42,7,8501.88,0,2,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,41.36,0.4894,51.33,6,20846.28,High,Growing,Medium
CUST-10007,2023-01-11,Enterprise,Technology,Middle East,Invoice,16,6078.7,2084.75,3993.95,65.7,2,13,76,8,63903.12,0,3,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,79.98,0.657,46.57,10,72944.4,Premium,Established,High
CUST-10008,2021-06-13,Starter,Technology,Europe,Invoice,36,219.9,79.07,140.83,64.04,3,7,3,10,5069.85,0,0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,73.3,0.6404,24.75,15,2638.8,Low,Veteran,High
CUST-10009,2023-01-18,Starter,Finance,Asia Pacific,PayPal,16,224.51,87.39,137.12,61.08,2,9,4,4,2193.89,1,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,56.13,0.6108,29.84,20,2694.12,Low,Established,High
CUST-10010,2021-12-17,Professional,Healthcare,Asia Pacific,Credit Card,29,1597.54,776.52,821.02,51.39,2,9,22,7,23809.55,0,2,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,72.62,0.5139,32.55,14,19170.48,High,Veteran,Medium
CUST-10011,2022-07-07,Growth,Healthcare,Latin America,PayPal,23,609.16,259.92,349.24,57.33,1,11,3,6,8032.63,0,1,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,203.05,0.5733,34.63,11,7309.92,Medium,Established,Medium
CUST-10012,2022-04-15,Growth,Education,Asia Pacific,Credit Card,25,743.15,272.57,470.58,63.32,1,9,8,10,11764.47,0,1,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,92.89,0.6332,32.44,5,8917.8,Medium,Veteran,High
CUST-10013,2022-03-09,Professional,Finance,Asia Pacific,Credit Card,27,1595.4,589.63,1005.77,63.04,0,19,15,10,27155.79,0,2,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,106.36,0.6304,50.2,0,19144.8,High,Veteran,High
CUST-10014,2023-07-29,Professional,Healthcare,Latin America,PayPal,10,1788.82,777.9,1010.92,56.51,0,11,28,8,10109.22,0,2,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,63.89,0.5651,40.4,4,21465.84,High,Growing,Medium
CUST-10015,2023-05-28,Growth,Healthcare,Middle East,Invoice,12,709.87,308.74,401.13,56.51,2,11,11,0,4813.59,0,1,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,64.53,0.5651,33.83,26,8518.44,Medium,Growing,Medium
CUST-10016,2023-11-10,Enterprise,Retail,Europe,Bank Transfer,6,5700.77,3405.45,2295.32,40.26,4,16,138,4,13771.93,0,3,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,41.31,0.4026,56.33,24,68409.24,Premium,Growing,Low
CUST-10017,2021-11-24,Starter,Logistics,North America,Bank Transfer,30,207.8,109.57,98.23,47.27,3,9,2,4,2946.81,0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,103.9,0.4727,27.54,23,2493.6,Low,Veteran,Medium
CUST-10018,2023-02-21,Enterprise,Manufacturing,North America,PayPal,15,5035.19,2517.19,2518.0,50.01,3,16,100,10,37770.02,0,3,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,50.35,0.5001,52.6,9,60422.28,Premium,Established,Medium
CUST-10019,2021-08-23,Enterprise,Manufacturing,Asia Pacific,Credit Card,33,4336.34,2353.9,1982.44,45.72,2,20,76,7,65420.4,0,3,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,57.06,0.4572,56.87,12,52036.08,Premium,Veteran,Medium
CUST-10020,2022-08-25,Professional,Logistics,Asia Pacific,Credit Card,21,1530.89,684.23,846.66,55.31,3,14,12,8,17779.86,0,2,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,127.57,0.5531,36.4,13,18370.68,High,Established,Medium
CUST-10021,2023-11-06,Enterprise,Technology,Asia Pacific,Bank Transfer,6,5640.93,1705.0,3935.93,69.77,1,10,169,7,23615.58,0,3,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,33.38,0.6977,58.18,9,67691.16,Premium,Growing,High
CUST-10022,2021-11-10,Professional,Logistics,Middle East,Bank Transfer,31,1783.01,911.14,871.87,48.9,0,17,35,8,27028.02,0,2,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,50.94,0.489,50.28,4,21396.12,High,Veteran,Medium
CUST-10023,2022-10-26,Growth,Manufacturing,Middle East,Credit Card,19,700.42,356.57,343.85,49.09,4,5,8,10,6533.11,0,1,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,87.55,0.4909,20.56,22,8405.04,Medium,Established,Medium
CUST-10024,2021-04-29,Starter,Retail,Asia Pacific,Bank Transfer,37,171.58,89.13,82.45,48.05,0,7,1,10,3050.83,1,0,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,171.58,0.4805,30.44,6,2058.96,Low,Veteran,Medium
CUST-10025,2023-12-27,Starter,Technology,Latin America,Credit Card,5,180.16,56.01,124.15,68.91,3,6,4,5,620.75,0,0,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,45.04,0.6891,23.43,32,2161.92,Low,Growing,High
CUST-10026,2022-06-27,Growth,Education,Latin America,Bank Transfer,23,550.67,184.25,366.42,66.54,1,12,14,6,8427.56,0,1,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,39.33,0.6654,37.76,11,6608.04,Medium,Established,High
CUST-10027,2022-10-01,Enterprise,Healthcare,Middle East,Bank Transfer,20,4444.78,1799.27,2645.51,59.52,1,11,62,10,52910.14,0,3,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,71.69,0.5952,43.52,3,53337.36,Premium,Established,Medium
CUST-10028,2021-09-05,Professional,Finance,Middle East,PayPal,33,1843.26,666.5,1176.76,63.84,1,15,13,7,38833.23,0,2,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,141.79,0.6384,42.02,9,22119.12,High,Veteran,High
CUST-10029,2022-03-28,Starter,Retail,North America,Bank Transfer,26,232.91,132.36,100.55,43.17,3,8,2,9,2614.22,1,0,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,116.46,0.4317,26.07,15,2794.92,Low,Veteran,Low
CUST-10030,2022-11-08,Starter,Healthcare,North America,Credit Card,19,174.82,79.87,94.95,54.31,2,9,1,10,1804.11,1,0,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,174.82,0.5431,29.39,8,2097.84,Low,Established,Medium
CUST-10031,2021-09-28,Growth,Retail,Latin America,Bank Transfer,32,539.74,290.88,248.86,46.11,2,9,5,8,7963.62,0,1,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,107.95,0.4611,29.99,12,6476.88,Medium,Veteran,Medium
CUST-10032,2022-01-25,Enterprise,Healthcare,Latin America,PayPal,28,4270.82,1914.4,2356.42,55.17,1,13,167,4,65979.65,1,3,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,25.57,0.5517,62.29,15,51249.84,Premium,Veteran,Medium
CUST-10033,2023-08-15,Enterprise,Retail,Latin America,PayPal,9,4432.52,2648.1,1784.42,40.26,1,18,81,6,16059.8,0,3,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,54.72,0.4026,56.68,11,53190.24,Premium,Growing,Low
CUST-10034,2023-04-05,Starter,Education,North America,Credit Card,14,248.43,91.28,157.15,63.26,1,13,4,9,2200.1,0,0,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,62.11,0.6326,37.72,5,2981.16,Low,Established,High
CUST-10035,2023-07-08,Starter,Healthcare,Europe,Bank Transfer,10,244.55,111.8,132.75,54.28,3,6,4,5,1327.55,1,0,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,61.14,0.5428,23.43,27,2934.6,Low,Growing,Medium
CUST-10036,2021-06-04,Growth,Retail,Latin America,Bank Transfer,36,686.69,411.53,275.16,40.07,4,9,7,7,9905.73,0,1,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,98.1,0.4007,26.29,20,8240.28,Medium,Veteran,Low
CUST-10037,2021-07-11,Starter,Technology,Middle East,Credit Card,35,246.31,76.07,170.24,69.12,5,8,2,5,5958.5,0,0,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,123.16,0.6912,22.07,29,2955.72,Low,Veteran,High
